session,party,name,bioguide_id,oppose_any,support_any,local_topic,total_posts
114,Republican Party,Mac M. Thornberry,T000238,0.18,0.06,0.38,448
114,Republican Party,John Thune,T000250,0.13,0.08,0.50,317
114,Republican Party,Patrick Joseph 'Pat' Tiberi,T000462,0.15,0.08,0.47,491
114,Republican Party,Scott R. Tipton,T000470,0.07,0.02,0.59,807
114,Democratic Party,Paul Tonko,T000469,0.07,0.10,0.52,709
114,Republican Party,Patrick J. 'Pat' Toomey,T000461,0.10,0.03,0.35,2055
114,Democratic Party,Niki S. Tsongas,T000465,0.02,0.06,0.65,1557
114,Republican Party,Michael R. 'Mike' Turner,T000463,0.07,0.01,0.47,290
114,Republican Party,Fred Stephen Upton,U000031,0.03,0.03,0.62,697
114,Democratic Party,Chris Van Hollen Jr.,V000128,0.17,0.15,0.32,942
114,Democratic Party,Nydia Margarita Velazquez,V000081,0.11,0.04,0.34,209
114,Democratic Party,Peter John 'Pete' Visclosky,V000108,0.01,0.08,0.65,836
114,Republican Party,David Vitter,V000127,0.14,0.03,0.53,934
114,Republican Party,Tim Walberg,W000798,0.08,0.01,0.55,1019
114,Republican Party,Greg P. Walden,W000791,0.05,0.03,0.73,606
114,Democratic Party,Timothy James 'Tim' Walz,W000799,0.00,0.03,0.78,103
114,Democratic Party,Debbie Wasserman Schultz,W000797,0.15,0.29,0.44,1706
114,Democratic Party,Maxine Waters,W000187,0.12,0.04,0.26,117
114,Republican Party,Daniel Webster,W000806,0.01,0.04,0.77,940
114,Democratic Party,Peter Francis 'Pete' Welch,W000800,0.03,0.09,0.56,350
114,Republican Party,Lynn A. Westmoreland,W000796,0.17,0.06,0.51,483
114,Republican Party,Wayne Edward 'Ed' Whitfield,W000413,0.08,0.01,0.37,714
114,Republican Party,Joe G. Wilson,W000795,0.13,0.05,0.41,705
114,Democratic Party,Frederica Smith Wilson,W000808,0.01,0.10,0.51,597
114,Republican Party,Robert Joseph 'Rob' Wittman,W000804,0.06,0.10,0.45,461
114,Republican Party,Steve Womack,W000809,0.07,0.04,0.57,898
114,Republican Party,Rob Woodall,W000810,0.14,0.07,0.47,469
114,Democratic Party,Ron Wyden,W000779,0.17,0.13,0.22,223
114,Democratic Party,John A. Yarmuth,Y000062,0.07,0.07,0.49,311
114,Republican Party,Kevin Wayne Yoder,Y000063,0.08,0.06,0.56,1001
114,Republican Party,Don E. Young,Y000033,0.14,0.03,0.46,1016
114,Republican Party,Todd C. Young,Y000064,0.22,0.14,0.40,1359
114,Republican Party,Dean Arthur Heller,H001041,0.04,0.01,0.49,257
114,Democratic Party,Janice Hahn,H001063,0.02,0.06,0.60,955
114,Republican Party,Mark E. Amodei,A000369,0.04,0.05,0.57,307
114,Democratic Party,Suzanne Bonamici,B001278,0.03,0.08,0.58,1072
114,Democratic Party,Suzan K. DelBene,D000617,0.02,0.03,0.49,1678
114,Republican Party,Thomas Harold Massie,M001184,0.06,0.09,0.41,938
114,Democratic Party,Donald Milford Payne Jr.,P000604,0.04,0.07,0.50,1198
114,Democratic Party,Brian Emanuel Schatz,S001194,0.07,0.07,0.24,662
114,Republican Party,Matt Salmon,S000018,0.09,0.02,0.38,1793
114,Democratic Party,Bill Foster,F000454,0.05,0.10,0.54,617
114,Democratic Party,Alan Mark Grayson,G000556,0.20,0.15,0.13,755
114,Democratic Party,Ann Leila Kirkpatrick,K000368,0.06,0.03,0.66,1478
114,Democratic Party,Dina Titus,T000468,0.08,0.16,0.42,999
114,Republican Party,Tom Cotton,C001095,0.19,0.03,0.36,1497
114,Democratic Party,Kyrsten Sinema,S001191,0.00,0.02,0.59,3629
114,Republican Party,Douglas L. 'Doug' LaMalfa,L000578,0.16,0.09,0.52,480
114,Democratic Party,Jared William Huffman,H001068,0.19,0.16,0.48,1432
114,Democratic Party,Ami Bera,B001287,0.01,0.03,0.56,1303
114,Republican Party,Paul Cook,C001094,0.05,0.01,0.55,384
114,Democratic Party,Eric Swalwell,S001193,0.05,0.06,0.49,1541
114,Republican Party,David G. Valadao,V000129,0.01,0.01,0.50,354
114,Democratic Party,Julia Brownley,B001285,0.02,0.04,0.66,605
114,Democratic Party,Antonio 'Tony' Cardenas,C001097,0.04,0.05,0.44,1433
114,Democratic Party,Raul Ruiz,R000599,0.01,0.01,0.70,642
114,Democratic Party,Mark Takano,T000472,0.13,0.18,0.31,581
114,Democratic Party,Alan S. Lowenthal,L000579,0.01,0.05,0.54,956
114,Democratic Party,Juan Vargas,V000130,0.00,0.05,0.74,363
114,Democratic Party,Scott H. Peters,P000608,0.03,0.05,0.59,1026
114,Democratic Party,Elizabeth H. Esty,E000293,0.03,0.07,0.60,1047
114,Republican Party,Ted S. Yoho,Y000065,0.14,0.07,0.44,987
114,Republican Party,Ron DeSantis,D000621,0.21,0.08,0.27,790
114,Democratic Party,Patrick E Murphy,M001191,0.08,0.14,0.43,1441
114,Democratic Party,Lois Jane Frankel,F000462,0.03,0.08,0.42,1142
114,Republican Party,Douglas Allen 'Doug' Collins,C001093,0.24,0.11,0.35,1646
114,Democratic Party,Tulsi Gabbard,G000571,0.01,0.07,0.48,1167
114,Democratic Party,Tammy Tammy Duckworth,D000622,0.04,0.07,0.49,1393
114,Republican Party,Rodney Davis,D000619,0.05,0.02,0.67,1189
114,Democratic Party,Cheri Bustos,B001286,0.03,0.09,0.59,1137
114,Republican Party,Jackie Walorski,W000813,0.07,0.04,0.55,1958
114,Republican Party,Susan W. Brooks,B001284,0.02,0.08,0.65,789
114,Republican Party,Luke Messer,M001189,0.05,0.07,0.55,908
114,Republican Party,Garland 'Andy' Barr,B001282,0.22,0.09,0.46,876
114,Democratic Party,Elizabeth Ann Warren,W000817,0.23,0.20,0.25,673
114,Democratic Party,Joseph P. 'Joe' Kennedy III,K000379,0.02,0.08,0.49,1015
114,Democratic Party,John K. Delaney,D000620,0.04,0.05,0.47,2253
114,Democratic Party,Angus King,K000383,0.00,0.02,0.67,964
114,Democratic Party,Daniel T. 'Dan' Kildee,K000380,0.06,0.10,0.55,964
114,Democratic Party,Richard M. 'Rick' Nolan,N000127,0.04,0.05,0.64,934
114,Republican Party,Ann Wagner,W000812,0.13,0.06,0.45,605
114,Republican Party,Steve Daines,D000618,0.14,0.02,0.57,755
114,Republican Party,Richard Hudson,H001067,0.14,0.05,0.46,1067
114,Republican Party,Robert Pittenger,P000606,0.21,0.10,0.38,1549
114,Republican Party,Mark Randall Meadows,M001187,0.16,0.09,0.46,787
114,Republican Party,George E. B. Holding,H001065,0.14,0.04,0.23,381
114,Democratic Party,Heidi Heitkamp,H001069,0.02,0.03,0.77,1534
114,Republican Party,Kevin Cramer,C001096,0.15,0.09,0.45,1321
114,Republican Party,Debra Strobel 'Deb' Fischer,F000463,0.05,0.02,0.57,683
114,Democratic Party,Ann M. 'Annie' Kuster,K000382,0.02,0.09,0.63,1121
114,Democratic Party,Michelle Lujan Grisham,L000580,0.03,0.07,0.60,860
114,Democratic Party,Grace Meng,M001188,0.02,0.03,0.64,985
114,Democratic Party,Hakeem S. Jeffries,J000294,0.06,0.10,0.33,1359
114,Democratic Party,Sean Patrick Maloney,M001185,0.01,0.01,0.59,903
114,Republican Party,Chris Collins,C001092,0.19,0.13,0.52,484
114,Republican Party,Brad R. Wenstrup,W000815,0.10,0.06,0.45,1196
114,Democratic Party,Joyce Beatty,B001281,0.02,0.06,0.43,931
114,Republican Party,David Patrick 'Dave' Joyce,J000295,0.05,0.05,0.51,1222
114,Republican Party,James Frederick 'Jim' Bridenstine,B001283,0.31,0.10,0.15,1094
114,Republican Party,Markwayne Mullin,M001190,0.15,0.04,0.47,1229
114,Republican Party,Scott Perry,P000605,0.07,0.04,0.43,1374
114,Republican Party,Keith James Rothfus,R000598,0.11,0.05,0.51,883
114,Democratic Party,Matthew A. 'Matt' Cartwright,C001090,0.00,0.05,0.62,499
114,Republican Party,Tom Rice,R000597,0.12,0.07,0.56,1056
114,Republican Party,Rafael Edward 'Ted' Cruz,C001098,0.18,0.16,0.31,3895
114,Republican Party,Randy K. Weber,W000814,0.08,0.04,0.37,1046
114,Democratic Party,Beto O'Rourke,O000170,0.01,0.02,0.66,1950
114,Democratic Party,Joaquin Castro,C001091,0.06,0.11,0.46,724
114,Republican Party,Roger Williams,W000816,0.25,0.08,0.36,1172
114,Democratic Party,Marc Allison Veasey,V000131,0.06,0.07,0.59,832
114,Democratic Party,Filemon Vela,V000132,0.00,0.01,0.81,327
114,Republican Party,Chris Stewart,S001192,0.12,0.07,0.45,1302
114,Democratic Party,Timothy 'Tim' Kaine,K000384,0.08,0.16,0.30,761
114,Democratic Party,Derek Kilmer,K000381,0.01,0.07,0.73,1389
114,Democratic Party,Denny Heck,H001064,0.02,0.06,0.59,266
114,Democratic Party,Mark Pocan,P000607,0.11,0.07,0.42,621
114,Democratic Party,Robin Kelly,K000385,0.03,0.22,0.58,3337
114,Republican Party,Marshall Clement 'Mark' Sanford Jr.,S000051,0.14,0.12,0.41,741
114,Republican Party,Jason Thomas Smith,S001195,0.12,0.06,0.62,1048
114,Democratic Party,Cory Anthony Booker,B001288,0.01,0.04,0.23,3440
114,Democratic Party,Katherine M. Clark,C001101,0.08,0.14,0.47,944
114,Republican Party,Bradley Byrne,B001289,0.19,0.07,0.53,2674
114,Republican Party,David W. Jolly,J000296,0.05,0.04,0.45,970
114,Republican Party,Curtis 'Curt' Clawson,C001102,0.10,0.09,0.58,111
114,Republican Party,David Alan 'Dave' Brat,B001290,0.22,0.15,0.35,2605
114,Democratic Party,Donald W. Norcross,N000188,0.00,0.04,0.72,2218
114,Democratic Party,Alma Adams,A000370,0.05,0.10,0.61,1092
114,Republican Party,Bob Dold,D000613,0.02,0.02,0.53,2051
114,Republican Party,Frank Guinta,G000570,0.13,0.06,0.59,1404
114,Republican Party,Gary Palmer,P000609,0.08,0.04,0.51,1424
114,Republican Party,French Hill,H001072,0.08,0.05,0.54,1107
114,Republican Party,Bruce Eugene Westerman,W000821,0.05,0.02,0.65,1498
114,Republican Party,Martha McSally,M001197,0.02,0.02,0.60,989
114,Democratic Party,Ruben Gallego,G000574,0.11,0.12,0.45,1142
114,Democratic Party,Mark DeSaulnier,D000623,0.02,0.03,0.58,916
114,Republican Party,Steve Knight,K000387,0.01,0.01,0.73,1448
114,Democratic Party,Pete Aguilar,A000371,0.07,0.04,0.59,476
114,Democratic Party,Ted Lieu,L000582,0.12,0.07,0.28,1859
114,Democratic Party,Norma Torres,T000474,0.01,0.03,0.64,864
114,Republican Party,Mimi Walters,W000820,0.08,0.09,0.57,1332
114,Republican Party,Ken Buck,B001297,0.17,0.06,0.36,893
114,Democratic Party,Gwen Graham,G000575,0.02,0.06,0.67,1344
